Project,Year,Month,Date,State,County,Site.Name,Coordinates,Block,Treatment,Site..Type,CollectionID,INHS.Barcode,Family,Genus,Species,Latin.Binomial,Station,Trap,Position,AM.PM,Flower.Association,Collector,Determined.By,Sex,Voutcher,Deposit
Decker_Burn Season,2016,July,7/13/2016,Illinois,Effingham,12 Mile Tract 3,"38.8706333333333, -88.7260166666666",1,GS,1GS,2686,"825,208",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,a,V,,,,B. Decker,B. Decker,F,Y,INHS
Decker_Burn Season,2016,August,8/11/2016,Illinois,Effingham,12 Mile Tract 2,"38.9384333333333, -88.6425166666666",1,DS,1DS,4068,"825,201",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,a,V,,,,B. Decker,B. Decker,F,Y,INHS
Decker_Burn Season,2016,August,8/11/2016,Illinois,Effingham,12 Mile Tract 2,"38.9384333333333, -88.6425166666666",1,DS,1DS,4069,,Halictidae,Agapostemon,sericeus,Agapostemon sericeus,e,V,,,,B. Decker,B. Decker,F,Y,Lab Reference Collection
Decker_Burn Season,2016,August,8/11/2016,Illinois,Effingham,12 Mile Tract 2,"38.9384333333333, -88.6425166666666",1,DS,1DS,4070,"825,202",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,,A,,AM,SILA,B. Decker,B. Decker,M,Y,INHS
Decker_Burn Season,2016,August,8/12/2016,Illinois,Fayette,12 Mile Tract 5,"38.8221, -88.7857166666666",2,GS,2GS,4071,"825,203",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,e,V,,,,B. Decker,B. Decker,F,Y,INHS
Decker_Burn Season,2016,August,8/17/2016,Illinois,Effingham,Ballard Nature Center,"39.0587, -88.7093666666666",4,UB,4UB,4072,"825,204",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,,A,,PM,CIVU,B. Decker,B. Decker,M,Y,INHS
Decker_Burn Season,2016,August,8/17/2016,Illinois,Effingham,Ballard Nature Center,"39.0610833333333, -88.7050333333333",4,GS,4GS,4073,"825,205",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,,A,,PM,COTR,B. Decker,B. Decker,M,Y,INHS
Decker_Burn Season,2016,August,8/13/2016,Illinois,Effingham,Ballard Nature Center,"39.0610833333333, -88.7050333333333",4,GS,4GS,4074,"825,206",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,,A,,PM,RUSU,B. Decker,B. Decker,M,Y,INHS
Decker_Burn Season,2016,August,8/13/2016,Illinois,Effingham,Ballard Nature Center,"39.0610833333333, -88.7050333333333",4,GS,4GS,4265,"825,207",Halictidae,Agapostemon,sericeus,Agapostemon sericeus,,A,,PM,SIIN,B. Decker,B. Decker,M,Y,INHS
Decker_Burn Season,2016,July,7/13/2016,Illinois,Effingham,12 Mile Tract 3,"38.8706333333333, -88.7260166666666",1,GS,1GS,2687,,Halictidae,Agapostemon,texanus,Agapostemon texanus,a,V,,,,B. Decker,M. Arduser,F,Y,Lab Reference Collection
Decker_Burn Season,2016,June,6/13/2016,Illinois,Marion,PRSNA Loy Tract,"38.8111, -88.8071333333333",3,DS,3DS,347,,Halictidae,Agapostemon,virescens,Agapostemon virescens,d,V,,,,B. Decker,B. Decker,F,Y,Other
Decker_Burn Season,2016,June,6/13/2016,Illinois,Marion,PRSNA Loy Tract,"38.8111, -88.8071333333333",3,DS,3DS,348,,Halictidae,Agapostemon,virescens,Agapostemon virescens,d,V,,,,B. Decker,B. Decker,F,Y,Other
